seed_index,seed,n,t,trunc_bytes,hash_bits,pwd_length,successful_cracks,failed_cracks,total_time,success_rate,avg_time_per_crack,same,different,construction_time,notes,timestamp
2,999,100,500,4,32,10,0,100,17.53146457672119,0.0,0.17531464576721192,0,0,0.07294273376464844,OK,2025-10-19 22:15:31
0,1,100,500,5,40,5,0,100,14.266046047210693,0.0,0.14266046047210693,0,0,0.06030464172363281,OK,2025-10-19 22:15:49
1,123,100,500,5,40,5,2,98,14.162188053131104,2.0,0.14162188053131103,2,0,0.0607149600982666,OK,2025-10-19 22:16:03
2,999,100,500,5,40,5,0,100,14.294361114501953,0.0,0.14294361114501952,0,0,0.06071734428405762,OK,2025-10-19 22:16:18
0,1,100,500,5,40,7,0,100,16.176310539245605,0.0,0.16176310539245606,0,0,0.06744074821472168,OK,2025-10-19 22:16:32
1,123,100,500,5,40,7,0,100,15.858568906784058,0.0,0.15858568906784057,0,0,0.0681600570678711,OK,2025-10-19 22:16:48
2,999,100,500,5,40,7,0,100,16.037678956985474,0.0,0.16037678956985474,0,0,0.06762194633483887,OK,2025-10-19 22:17:04
0,1,100,500,5,40,10,0,100,18.018956899642944,0.0,0.18018956899642943,0,0,0.07572507858276367,OK,2025-10-19 22:17:20
1,123,100,500,5,40,10,0,100,18.167512893676758,0.0,0.18167512893676757,0,0,0.07535696029663086,OK,2025-10-19 22:17:38
2,999,100,500,5,40,10,0,100,17.848491668701172,0.0,0.17848491668701172,0,0,0.0763559341430664,OK,2025-10-19 22:17:57
0,1,100,500,6,48,5,0,100,14.814432859420776,0.0,0.14814432859420776,0,0,0.062012434005737305,OK,2025-10-19 22:18:15
1,123,100,500,6,48,5,0,100,15.110539436340332,0.0,0.1511053943634033,0,0,0.061888694763183594,OK,2025-10-19 22:18:29
2,999,100,500,6,48,5,1,99,14.821056604385376,1.0,0.14821056604385377,1,0,0.061841726303100586,OK,2025-10-19 22:18:45
0,1,100,500,6,48,7,0,100,16.066043853759766,0.0,0.16066043853759765,0,0,0.06798315048217773,OK,2025-10-19 22:18:59
1,123,100,500,6,48,7,0,100,16.179341554641724,0.0,0.16179341554641724,0,0,0.06733822822570801,OK,2025-10-19 22:19:16
2,999,100,500,6,48,7,0,100,16.068591117858887,0.0,0.16068591117858888,0,0,0.06788444519042969,OK,2025-10-19 22:19:32
0,1,100,500,6,48,10,0,100,18.777092933654785,0.0,0.18777092933654785,0,0,0.07731246948242188,OK,2025-10-19 22:19:48
1,123,100,500,6,48,10,0,100,18.1936993598938,0.0,0.181936993598938,0,0,0.08002090454101562,OK,2025-10-19 22:20:07
2,999,100,500,6,48,10,0,100,18.533872842788696,0.0,0.18533872842788696,0,0,0.07794642448425293,OK,2025-10-19 22:20:25
0,1,500,100,4,32,5,0,100,0.6108858585357666,0.0,0.006108858585357666,0,0,0.057943105697631836,OK,2025-10-19 22:20:44
1,123,500,100,4,32,5,0,100,0.6196835041046143,0.0,0.0061968350410461425,0,0,0.06316113471984863,OK,2025-10-19 22:20:44
2,999,500,100,4,32,5,1,99,0.6036548614501953,1.0,0.006036548614501953,1,0,0.06915736198425293,OK,2025-10-19 22:20:45
0,1,500,100,4,32,7,0,100,0.6724486351013184,0.0,0.006724486351013184,0,0,0.06871533393859863,OK,2025-10-19 22:20:46
1,123,500,100,4,32,7,0,100,0.6789851188659668,0.0,0.006789851188659668,0,0,0.06871318817138672,OK,2025-10-19 22:20:46
2,999,500,100,4,32,7,0,100,0.6872928142547607,0.0,0.006872928142547608,0,0,0.07102632522583008,OK,2025-10-19 22:20:47
0,1,500,100,4,32,10,0,100,0.7756433486938477,0.0,0.007756433486938477,0,0,0.07953500747680664,OK,2025-10-19 22:20:48
1,123,500,100,4,32,10,0,100,0.7909135818481445,0.0,0.007909135818481445,0,0,0.08002352714538574,OK,2025-10-19 22:20:49
2,999,500,100,4,32,10,0,100,0.7815361022949219,0.0,0.007815361022949219,0,0,0.07751250267028809,OK,2025-10-19 22:20:50
0,1,500,100,5,40,5,0,100,0.6407344341278076,0.0,0.006407344341278076,0,0,0.06826329231262207,OK,2025-10-19 22:20:51
1,123,500,100,5,40,5,1,99,0.6303412914276123,1.0,0.006303412914276123,1,0,0.06546711921691895,OK,2025-10-19 22:20:51
2,999,500,100,5,40,5,1,99,0.6333153247833252,1.0,0.0063331532478332515,1,0,0.06614923477172852,OK,2025-10-19 22:20:52
0,1,500,100,5,40,7,0,100,0.6970317363739014,0.0,0.006970317363739014,0,0,0.07241392135620117,OK,2025-10-19 22:20:53
1,123,500,100,5,40,7,0,100,0.700197696685791,0.0,0.00700197696685791,0,0,0.07235288619995117,OK,2025-10-19 22:20:53
2,999,500,100,5,40,7,0,100,0.6897401809692383,0.0,0.006897401809692383,0,0,0.07216286659240723,OK,2025-10-19 22:20:54
0,1,500,100,5,40,10,0,100,0.7992148399353027,0.0,0.007992148399353027,0,0,0.08350515365600586,OK,2025-10-19 22:20:55
